ID,Employees,Admins,Assets,Disclose,Ransomware
430,100.0,5000.0,10.0,2.0,1.0
431,1000.0,5000.0,10.0,2.0,1.0
432,5000.0,5000.0,10.0,2.0,1.0
433,10000.0,5000.0,10.0,2.0,1.0
434,1.0,10000.0,10.0,2.0,1.0
435,10.0,10000.0,10.0,2.0,1.0
436,50.0,10000.0,10.0,2.0,1.0
437,100.0,10000.0,10.0,2.0,1.0
438,1000.0,10000.0,10.0,2.0,1.0
439,5000.0,10000.0,10.0,2.0,1.0
440,10000.0,10000.0,10.0,2.0,1.0
441,1.0,1.0,100.0,2.0,1.0
442,10.0,1.0,100.0,2.0,1.0
443,50.0,1.0,100.0,2.0,1.0
444,100.0,1.0,100.0,2.0,1.0
445,1000.0,1.0,100.0,2.0,1.0
446,5000.0,1.0,100.0,2.0,1.0
447,10000.0,1.0,100.0,2.0,1.0
448,1.0,10.0,100.0,2.0,1.0
449,10.0,10.0,100.0,2.0,1.0
450,50.0,10.0,100.0,2.0,1.0
451,100.0,10.0,100.0,2.0,1.0
452,1000.0,10.0,100.0,2.0,1.0
453,5000.0,10.0,100.0,2.0,1.0
454,10000.0,10.0,100.0,2.0,1.0
455,1.0,50.0,100.0,2.0,1.0
456,10.0,50.0,100.0,2.0,1.0
457,50.0,50.0,100.0,2.0,1.0
458,100.0,50.0,100.0,2.0,1.0
459,1000.0,50.0,100.0,2.0,1.0
460,5000.0,50.0,100.0,2.0,1.0
461,10000.0,50.0,100.0,2.0,1.0
462,1.0,100.0,100.0,2.0,1.0
463,10.0,100.0,100.0,2.0,1.0
464,50.0,100.0,100.0,2.0,1.0
465,100.0,100.0,100.0,2.0,1.0
466,1000.0,100.0,100.0,2.0,1.0
467,5000.0,100.0,100.0,2.0,1.0
468,10000.0,100.0,100.0,2.0,1.0
469,1.0,1000.0,100.0,2.0,1.0
470,10.0,1000.0,100.0,2.0,1.0
471,50.0,1000.0,100.0,2.0,1.0
472,100.0,1000.0,100.0,2.0,1.0
473,1000.0,1000.0,100.0,2.0,1.0
474,5000.0,1000.0,100.0,2.0,1.0
475,10000.0,1000.0,100.0,2.0,1.0
476,1.0,5000.0,100.0,2.0,1.0
477,10.0,5000.0,100.0,2.0,1.0
478,50.0,5000.0,100.0,2.0,1.0
479,100.0,5000.0,100.0,2.0,1.0
480,1000.0,5000.0,100.0,2.0,1.0
481,5000.0,5000.0,100.0,2.0,1.0
482,10000.0,5000.0,100.0,2.0,1.0
483,1.0,10000.0,100.0,2.0,1.0
484,10.0,10000.0,100.0,2.0,1.0
485,50.0,10000.0,100.0,2.0,1.0
486,100.0,10000.0,100.0,2.0,1.0
487,1000.0,10000.0,100.0,2.0,1.0
488,5000.0,10000.0,100.0,2.0,1.0
489,10000.0,10000.0,100.0,2.0,1.0
490,1.0,1.0,250.0,2.0,1.0
491,10.0,1.0,250.0,2.0,1.0
492,50.0,1.0,250.0,2.0,1.0
493,100.0,1.0,250.0,2.0,1.0
494,1000.0,1.0,250.0,2.0,1.0
495,5000.0,1.0,250.0,2.0,1.0
496,10000.0,1.0,250.0,2.0,1.0
497,1.0,10.0,250.0,2.0,1.0
498,10.0,10.0,250.0,2.0,1.0
499,50.0,10.0,250.0,2.0,1.0
500,100.0,10.0,250.0,2.0,1.0
501,1000.0,10.0,250.0,2.0,1.0
502,5000.0,10.0,250.0,2.0,1.0
503,10000.0,10.0,250.0,2.0,1.0
504,1.0,50.0,250.0,2.0,1.0
505,10.0,50.0,250.0,2.0,1.0
506,50.0,50.0,250.0,2.0,1.0
507,100.0,50.0,250.0,2.0,1.0
508,1000.0,50.0,250.0,2.0,1.0
509,5000.0,50.0,250.0,2.0,1.0
510,10000.0,50.0,250.0,2.0,1.0
511,1.0,100.0,250.0,2.0,1.0
512,10.0,100.0,250.0,2.0,1.0
513,50.0,100.0,250.0,2.0,1.0
514,100.0,100.0,250.0,2.0,1.0
515,1000.0,100.0,250.0,2.0,1.0
516,5000.0,100.0,250.0,2.0,1.0
517,10000.0,100.0,250.0,2.0,1.0
518,1.0,1000.0,250.0,2.0,1.0
519,10.0,1000.0,250.0,2.0,1.0
520,50.0,1000.0,250.0,2.0,1.0
521,100.0,1000.0,250.0,2.0,1.0
522,1000.0,1000.0,250.0,2.0,1.0
523,5000.0,1000.0,250.0,2.0,1.0
524,10000.0,1000.0,250.0,2.0,1.0
525,1.0,5000.0,250.0,2.0,1.0
526,10.0,5000.0,250.0,2.0,1.0
527,50.0,5000.0,250.0,2.0,1.0
528,100.0,5000.0,250.0,2.0,1.0
529,1000.0,5000.0,250.0,2.0,1.0
530,5000.0,5000.0,250.0,2.0,1.0
531,10000.0,5000.0,250.0,2.0,1.0
532,1.0,10000.0,250.0,2.0,1.0
533,10.0,10000.0,250.0,2.0,1.0
534,50.0,10000.0,250.0,2.0,1.0
535,100.0,10000.0,250.0,2.0,1.0
536,1000.0,10000.0,250.0,2.0,1.0
537,5000.0,10000.0,250.0,2.0,1.0
538,10000.0,10000.0,250.0,2.0,1.0
539,1.0,1.0,500.0,2.0,1.0
540,10.0,1.0,500.0,2.0,1.0
541,50.0,1.0,500.0,2.0,1.0
542,100.0,1.0,500.0,2.0,1.0
543,1000.0,1.0,500.0,2.0,1.0
544,5000.0,1.0,500.0,2.0,1.0
545,10000.0,1.0,500.0,2.0,1.0
546,1.0,10.0,500.0,2.0,1.0
547,10.0,10.0,500.0,2.0,1.0
548,50.0,10.0,500.0,2.0,1.0
549,100.0,10.0,500.0,2.0,1.0
550,1000.0,10.0,500.0,2.0,1.0
551,5000.0,10.0,500.0,2.0,1.0
552,10000.0,10.0,500.0,2.0,1.0
553,1.0,50.0,500.0,2.0,1.0
554,10.0,50.0,500.0,2.0,1.0
555,50.0,50.0,500.0,2.0,1.0
556,100.0,50.0,500.0,2.0,1.0
557,1000.0,50.0,500.0,2.0,1.0
558,5000.0,50.0,500.0,2.0,1.0
559,10000.0,50.0,500.0,2.0,1.0
560,1.0,100.0,500.0,2.0,1.0
561,10.0,100.0,500.0,2.0,1.0
562,50.0,100.0,500.0,2.0,1.0
563,100.0,100.0,500.0,2.0,1.0
